"id","site","lab_id","name","result","units","month","day","year","created_at","updated_at","site_name","collection_date"
1594,7,"180718-7","Beach Plate Count; MPN","285","colonies/100mL",7,18,2018,"2018-12-23 13:39:01.086009","2018-12-23 13:39:01.086009","North State Park","2018-07-18"
1595,7,"180718-7","Beach Plate Count; e-coli","1","colonies/100mL",7,18,2018,"2018-12-23 13:39:01.111113","2018-12-23 13:39:01.111113","North State Park","2018-07-18"
1596,7,"180718-7","pH","7.93","pH",7,18,2018,"2018-12-23 13:39:01.123517","2018-12-23 13:39:01.123517","North State Park","2018-07-18"
1597,7,"180718-7","Dissolved Oxygen","6.6","mg/L",7,18,2018,"2018-12-23 13:39:01.133318","2018-12-23 13:39:01.133318","North State Park","2018-07-18"
1598,7,"180718-7","Total Dissolved Solids","0.001","percent",7,18,2018,"2018-12-23 13:39:01.141405","2018-12-23 13:39:01.141405","North State Park","2018-07-18"
1599,7,"180718-7","Water Temperature","19.8","degrees Centigrade",7,18,2018,"2018-12-23 13:39:01.146307","2018-12-23 13:39:01.146307","North State Park","2018-07-18"
1600,7,"180718-7","Air Temperature","10","degrees Centigrade",7,18,2018,"2018-12-23 13:39:01.150978","2018-12-23 13:39:01.150978","North State Park","2018-07-18"
1601,7,"180718-7","Conductivity","311","uS/cM",7,18,2018,"2018-12-23 13:39:01.16217","2018-12-23 13:39:01.16217","North State Park","2018-07-18"
1744,7,"181024-3","Conductivity","304","uS/cM",10,24,2018,"2018-12-23 13:39:20.26879","2018-12-23 13:39:20.26879","North State Park","2018-10-24"
1612,8,"180718-8","Conductivity","311","uS/cM",7,18,2018,"2018-12-23 13:39:01.262496","2018-12-23 13:39:01.262496","B&B Marina","2018-07-18"
1623,9,"180718-9","Conductivity","270","uS/cM",7,18,2018,"2018-12-23 13:39:01.344815","2018-12-23 13:39:01.344815","Camp Carmine","2018-07-18"
1759,9,"181024-2","Beach Plate Count; MPN","1011","colonies/100mL",10,24,2018,"2018-12-23 13:39:20.325903","2018-12-23 13:39:20.325903","Camp Carmine","2018-10-24"
1760,9,"181024-2","Beach Plate Count; e-coli","1","colonies/100mL",10,24,2018,"2018-12-23 13:39:20.333622","2018-12-23 13:39:20.333622","Camp Carmine","2018-10-24"
1761,9,"181024-2","pH","7.3","pH",10,24,2018,"2018-12-23 13:39:20.336357","2018-12-23 13:39:20.336357","Camp Carmine","2018-10-24"
1762,9,"181024-2","Dissolved Oxygen","12.8","mg/L",10,24,2018,"2018-12-23 13:39:20.341168","2018-12-23 13:39:20.341168","Camp Carmine","2018-10-24"
1763,9,"181024-2","Total Dissolved Solids","0.004","percent",10,24,2018,"2018-12-23 13:39:20.343877","2018-12-23 13:39:20.343877","Camp Carmine","2018-10-24"
1764,9,"181024-2","Water Temperature","7.6","degrees Centigrade",10,24,2018,"2018-12-23 13:39:20.41023","2018-12-23 13:39:20.41023","Camp Carmine","2018-10-24"
1765,9,"181024-2","Air Temperature","1.3","degrees Centigrade",10,24,2018,"2018-12-23 13:39:20.414939","2018-12-23 13:39:20.414939","Camp Carmine","2018-10-24"
1766,9,"181024-2","Conductivity","323","uS/cM",10,24,2018,"2018-12-23 13:39:20.417608","2018-12-23 13:39:20.417608","Camp Carmine","2018-10-24"
1624,10,"180718-10","Phosphorus","n.d.","mg/L",7,18,2018,"2018-12-23 13:39:01.347863","2018-12-23 13:39:01.347863","Treasure Island - 1","2018-07-18"
1626,10,"180718-10","Nitrogen (Nitrite)","0.004","mg/L",7,18,2018,"2018-12-23 13:39:01.352715","2018-12-23 13:39:01.352715","Treasure Island - 1","2018-07-18"
1627,10,"180718-10","Beach Plate Count; MPN","378","colonies/100mL",7,18,2018,"2018-12-23 13:39:01.354817","2018-12-23 13:39:01.354817","Treasure Island - 1","2018-07-18"
1628,10,"180718-10","Beach Plate Count; e-coli","<1","colonies/100mL",7,18,2018,"2018-12-23 13:39:01.357422","2018-12-23 13:39:01.357422","Treasure Island - 1","2018-07-18"
1629,10,"180718-10","pH","7.33","pH",7,18,2018,"2018-12-23 13:39:01.367651","2018-12-23 13:39:01.367651","Treasure Island - 1","2018-07-18"
1630,10,"180718-10","Dissolved Oxygen","7","mg/L",7,18,2018,"2018-12-23 13:39:01.500066","2018-12-23 13:39:01.500066","Treasure Island - 1","2018-07-18"
1631,10,"180718-10","Total Dissolved Solids","0.0025","percent",7,18,2018,"2018-12-23 13:39:01.519612","2018-12-23 13:39:01.519612","Treasure Island - 1","2018-07-18"
1775,10,"181019-1","Water Temperature","5.2","degrees Centigrade",10,19,2018,"2018-12-23 13:39:20.457694","2018-12-23 13:39:20.457694","Treasure Island - 1","2018-10-19"
1776,10,"181019-1","Air Temperature","7.2","degrees Centigrade",10,19,2018,"2018-12-23 13:39:20.460976","2018-12-23 13:39:20.460976","Treasure Island - 1","2018-10-19"
1777,10,"181019-1","Conductivity","305","uS/cM",10,19,2018,"2018-12-23 13:39:20.463972","2018-12-23 13:39:20.463972","Treasure Island - 1","2018-10-19"
1642,11,"180718-11","Total Dissolved Solids","0.0018","percent",7,18,2018,"2018-12-23 13:39:01.594738","2018-12-23 13:39:01.594738","Treasure Island - 2","2018-07-18"
1643,11,"180718-11","Water Temperature","19.7","degrees Centigrade",7,18,2018,"2018-12-23 13:39:01.598693","2018-12-23 13:39:01.598693","Treasure Island - 2","2018-07-18"
1644,11,"180718-11","Air Temperature","13.9","degrees Centigrade",7,18,2018,"2018-12-23 13:39:01.602353","2018-12-23 13:39:01.602353","Treasure Island - 2","2018-07-18"
1645,11,"180718-11","Conductivity","272","uS/cM",7,18,2018,"2018-12-23 13:39:01.610354","2018-12-23 13:39:01.610354","Treasure Island - 2","2018-07-18"
1788,11,"181019-2","Conductivity","279","uS/cM",10,19,2018,"2018-12-23 13:39:20.587455","2018-12-23 13:39:20.587455","Treasure Island - 2","2018-10-19"
1799,12,"181019-3","Conductivity","284","uS/cM",10,19,2018,"2018-12-23 13:39:20.641288","2018-12-23 13:39:20.641288","Kennedy Beach","2018-10-19"
1810,13,"181019-4","Conductivity","285","uS/cM",10,19,2018,"2018-12-23 13:39:20.707042","2018-12-23 13:39:20.707042","Flag Point","2018-10-19"
1625,10,"180718-10","Nitrogen (Nitrate)","0.109","mg/L",7,18,2018,"2018-12-23 13:39:01.350392","2018-12-23 13:39:01.350392","Treasure Island - 1","2018-07-18"
